n,S,rep,eps,order,rank,top1,top3,top5,top10,top20,original_tree_mass,hybrid_leakage,ml_true,ensemble_eff
50,50,2,0.05,2,1,True,True,True,True,True,0.6903762006283414,0.3096237993716586,1,7.095635972512978
50,200,0,0.05,0,1,True,True,True,True,True,0.820304108276055,0.1796958917239449,1,1.4090688465029442
50,200,0,0.05,1,1,True,True,True,True,True,0.8601180544438228,0.1398819455561771,1,1.4090688465029442
50,200,0,0.05,2,1,True,True,True,True,True,0.8696349867186605,0.1303650132813395,1,1.4090688465029442
50,200,1,0.05,0,1,True,True,True,True,True,0.8013398098492701,0.1986601901507299,1,1.1157138224093996
50,200,1,0.05,1,1,True,True,True,True,True,0.8375019695321873,0.1624980304678127,1,1.1157138224093996
50,200,1,0.05,2,1,True,True,True,True,True,0.8444543585767281,0.1555456414232718,1,1.1157138224093996
50,200,2,0.05,0,1,True,True,True,True,True,0.8308736199446514,0.1691263800553486,1,1.1082293346486296
50,200,2,0.05,1,1,True,True,True,True,True,0.8561615724226523,0.1438384275773476,1,1.1082293346486296
50,200,2,0.05,2,1,True,True,True,True,True,0.8576412600327836,0.1423587399672163,1,1.1082293346486296
50,1000,0,0.05,0,1,True,True,True,True,True,0.8084668940870464,0.1915331059129535,1,1.10790536641662
50,1000,0,0.05,1,1,True,True,True,True,True,0.8470639732286145,0.1529360267713855,1,1.10790536641662
50,1000,0,0.05,2,1,True,True,True,True,True,0.8535703958989468,0.1464296041010532,1,1.10790536641662
50,1000,1,0.05,0,1,True,True,True,True,True,0.8525751743143071,0.1474248256856929,1,1.10790536641662
50,1000,1,0.05,1,1,True,True,True,True,True,0.8821480326917283,0.1178519673082717,1,1.10790536641662
50,1000,1,0.05,2,1,True,True,True,True,True,0.8886203207218472,0.1113796792781528,1,1.10790536641662
50,1000,2,0.05,0,1,True,True,True,True,True,0.8192886036574535,0.1807113963425465,1,1.10790536641662
50,1000,2,0.05,1,1,True,True,True,True,True,0.8429942487198812,0.1570057512801188,1,1.10790536641662
50,1000,2,0.05,2,1,True,True,True,True,True,0.8482850563043717,0.1517149436956283,1,1.10790536641662
100,50,0,0.05,0,1,True,True,True,True,True,0.7030327315930814,0.2969672684069185,1,6.175437729137565
100,50,0,0.05,1,1,True,True,True,True,True,0.724135473552515,0.275864526447485,1,6.175437729137565
100,50,0,0.05,2,1,True,True,True,True,True,0.7322986431764255,0.2677013568235745,1,6.175437729137565
100,200,0,0.05,0,1,True,True,True,True,True,0.6964856776982289,0.3035143223017711,1,1.2048853793577243
100,200,0,0.05,1,1,True,True,True,True,True,0.7376528327271781,0.2623471672728219,1,1.2048853793577243
100,200,0,0.05,2,1,True,True,True,True,True,0.7469601745370553,0.2530398254629447,1,1.2048853793577243
100,1000,0,0.05,0,1,True,True,True,True,True,0.7366470560716395,0.2633529439283605,1,1.1080101844217467
100,1000,0,0.05,1,1,True,True,True,True,True,0.776843239061017,0.2231567609389829,1,1.1080101844217467
100,1000,0,0.05,2,1,True,True,True,True,True,0.7897996958786392,0.2102003041213608,1,1.1080101844217467
20,50,0,0.15,0,2,False,True,True,True,True,0.6132594863676378,0.3867405136323621,0,12.970737378963696
20,50,0,0.15,1,2,False,True,True,True,True,0.6795642701792796,0.3204357298207204,0,12.970737378963696
20,50,0,0.15,2,2,False,True,True,True,True,0.6898932661090562,0.3101067338909438,0,12.970737378963696
20,50,1,0.15,0,1,True,True,True,True,True,0.6409332814469053,0.3590667185530947,1,9.872418351397451
20,50,1,0.15,1,1,True,True,True,True,True,0.7113544044886971,0.2886455955113028,1,9.872418351397451
20,50,1,0.15,2,1,True,True,True,True,True,0.7177700192876846,0.2822299807123154,1,9.872418351397451
20,50,2,0.15,0,2,False,True,True,True,True,0.4687726422379819,0.5312273577620181,0,13.322572523855198
20,50,2,0.15,1,2,False,True,True,True,True,0.5230286998967035,0.4769713001032964,0,13.322572523855198
20,50,2,0.15,2,2,False,True,True,True,True,0.6233438551800273,0.3766561448199726,0,13.322572523855198
20,50,3,0.15,0,1,True,True,True,True,True,0.4508194590104846,0.5491805409895154,1,17.465393857353618
20,50,3,0.15,1,1,True,True,True,True,True,0.4855024473453461,0.5144975526546538,1,17.465393857353618
20,50,3,0.15,2,1,True,True,True,True,True,0.4978369841534341,0.502163015846566,1,17.465393857353618
20,50,4,0.15,0,1,True,True,True,True,True,0.5283308700473724,0.4716691299526275,1,9.5777134639246
20,50,4,0.15,1,1,True,True,True,True,True,0.59562780628251,0.40437219371749,1,9.5777134639246
20,50,4,0.15,2,1,True,True,True,True,True,0.6037469514806261,0.3962530485193739,1,9.5777134639246
20,200,0,0.15,0,1,True,True,True,True,True,0.81117986605396,0.18882013394604,1,1.605657144829275
20,200,0,0.15,1,1,True,True,True,True,True,0.8390829394948561,0.1609170605051438,1,1.605657144829275
20,200,0,0.15,2,1,True,True,True,True,True,0.8481223559019594,0.1518776440980406,1,1.605657144829275
20,200,1,0.15,0,1,True,True,True,True,True,0.8185520167694673,0.1814479832305326,1,1.5007359622117222
20,200,1,0.15,1,1,True,True,True,True,True,0.8698197448756857,0.1301802551243143,1,1.5007359622117222
20,200,1,0.15,2,1,True,True,True,True,True,0.8700689761396304,0.1299310238603696,1,1.5007359622117222
20,200,2,0.15,0,1,True,True,True,True,True,0.7147331696122172,0.2852668303877828,0,3.184879984711049
20,200,2,0.15,1,1,True,True,True,True,True,0.7832846748436676,0.2167153251563324,0,3.184879984711049
